match_id,player,team,minute,x,y,distance_to_goal,angle_to_goal,body_part,shot_type,technique,under_pressure,n_defenders_in_cone,gk_distance_to_goal,play_pattern,statsbomb_xg,is_goal
3895158,Jonas Hofmann,Bayer Leverkusen,60,99.8,49.5,22.322410264126948,18.524358193220625,Right Foot,Open Play,Half Volley,True,3.0,2.4596747752497685,Regular Play,0.028571086,0
3895158,Exequiel Alejandro Palacios,Bayer Leverkusen,61,111.0,44.4,10.017983829094554,40.48026160930493,Right Foot,Open Play,Normal,True,1.0,6.212889826803629,From Corner,0.11298785,0
3895158,Florian Wirtz,Bayer Leverkusen,61,100.3,53.8,24.05265058158872,15.650897613813465,Left Foot,Open Play,Normal,True,3.0,5.630275304103696,From Corner,0.029681489,0
3895158,Alejandro Grimaldo García,Bayer Leverkusen,62,94.3,54.9,29.706901555025897,13.348090515913832,Left Foot,Open Play,Normal,True,2.0,2.061552812808824,From Corner,0.020517882,0
3895158,Niclas Füllkrug,Borussia Dortmund,67,113.8,27.1,14.31258187749506,14.715931700075668,Left Foot,Open Play,Normal,True,1.0,4.833218389437827,From Corner,0.05908229,0
3895158,Alejandro Grimaldo García,Bayer Leverkusen,72,95.1,30.0,26.833002068348602,15.798888586289905,Left Foot,Open Play,Normal,True,2.0,1.780449381476491,Regular Play,0.029913954,0
3895158,Granit Xhaka,Bayer Leverkusen,72,99.3,43.5,20.993808611111994,21.300092961177594,Left Foot,Open Play,Normal,True,2.0,3.721558813185682,Regular Play,0.08205067,0
3895158,Florian Wirtz,Bayer Leverkusen,77,102.9,50.2,19.911052207254137,19.777275332780928,Right Foot,Open Play,Half Volley,True,1.0,2.5059928172283374,From Free Kick,0.041199785,0
3895158,Victor Okoh Boniface,Bayer Leverkusen,78,116.7,38.6,3.584689665786981,96.80425956260848,Right Foot,Open Play,Normal,True,0.0,9.750897394599123,From Counter,0.94032604,1
3895158,Victor Okoh Boniface,Bayer Leverkusen,86,104.7,34.7,16.191973320136118,26.43643506197702,Left Foot,Open Play,Half Volley,True,2.0,2.11896201004171,From Throw In,0.08122539,0
3895158,Patrik Schick,Bayer Leverkusen,87,115.4,48.7,9.841239759298622,24.473313960529353,Head,Open Play,Normal,True,1.0,3.067572330035592,From Corner,0.06840045,0
3895158,Niclas Füllkrug,Borussia Dortmund,94,112.0,40.9,8.050465825031493,52.66881886448022,Head,Open Play,Normal,True,1.0,1.72046505340853,From Free Kick,0.23604602,0
3895107,Florian Wirtz,Bayer Leverkusen,0,96.5,47.5,24.66779276708802,17.604210950933936,Right Foot,Open Play,Normal,True,2.0,3.7643060449437376,Regular Play,0.043692373,0
3895107,Julian Chabot,FC Köln,9,114.1,38.5,6.087692502089775,65.95421924683338,Head,Open Play,Normal,True,1.0,1.6401219466856702,From Corner,0.12117475,0
3895107,Victor Okoh Boniface,Bayer Leverkusen,11,102.9,37.7,17.25398504693915,25.902276093213423,Right Foot,Open Play,Normal,True,3.0,2.109502310972893,Regular Play,0.061079353,0
3895107,Victor Okoh Boniface,Bayer Leverkusen,11,115.7,29.5,11.346365056704283,16.968354562553408,Right Foot,Open Play,Normal,True,1.0,5.685947590331801,Regular Play,0.13403521,0
3895107,Victor Okoh Boniface,Bayer Leverkusen,12,105.0,38.0,15.132745950421556,29.39605285494326,Right Foot,Open Play,Normal,True,2.0,1.513274595042156,Regular Play,0.064727865,0
3895107,Jonas Hofmann,Bayer Leverkusen,14,100.0,46.8,21.124393482417428,20.399435898957226,Right Foot,Open Play,Normal,True,2.0,1.4317821063276333,Regular Play,0.055555455,0
3895107,Jonathan Tah,Bayer Leverkusen,15,113.9,45.0,7.887331614684394,46.561512750868815,Head,Open Play,Normal,True,1.0,2.2472205054244236,From Free Kick,0.110566854,0
3895107,Florian Wirtz,Bayer Leverkusen,18,93.5,50.5,28.50438562747845,14.904550338085816,Right Foot,Open Play,Normal,True,2.0,3.757658845611193,From Throw In,0.021526279,0
3895107,Jonas Hofmann,Bayer Leverkusen,21,110.6,38.0,9.610411021387176,44.561481878558816,Left Foot,Open Play,Normal,True,1.0,3.1622776601683795,From Throw In,0.19221357,1
3895107,Alejandro Grimaldo García,Bayer Leverkusen,26,105.9,36.7,14.481022063376598,30.21411851583604,Left Foot,Open Play,Normal,True,1.0,3.5383612025908313,From Goal Kick,0.10844014,0
3895107,Jeremie Frimpong,Bayer Leverkusen,31,115.2,47.8,9.158602513484245,29.497022737038126,Right Foot,Open Play,Normal,True,0.0,2.72946881279124,From Free Kick,0.3447506,1
3895107,Alejandro Grimaldo García,Bayer Leverkusen,34,106.3,65.9,29.300170647967228,7.41192781975158,Left Foot,Open Play,Normal,True,2.0,1.526433752247371,From Corner,0.0076719634,0
3895107,Florian Wirtz,Bayer Leverkusen,35,102.9,40.3,17.102631376487064,26.32417442776764,Head,Open Play,Normal,True,2.0,0.9433981132056579,From Corner,0.03361518,0
3895107,Jeremie Frimpong,Bayer Leverkusen,37,109.7,51.8,15.663013758533186,19.763745932019017,Left Foot,Open Play,Normal,True,2.0,4.404543109109045,From Free Kick,0.06705256,0
3895107,Davie Selke,FC Köln,45,106.7,33.3,14.892279879185724,27.341543082628696,Right Foot,Open Play,Normal,True,2.0,3.584689665786978,From Throw In,0.09981244,0
3895107,Eric Martel,FC Köln,46,115.0,39.9,5.000999900019995,77.30598350139725,Head,Open Play,Normal,True,1.0,0.9848857801796151,From Corner,0.18803596,0
3895107,Eric Martel,FC Köln,46,115.9,39.3,4.159326868617079,87.73031864735235,Left Foot,Open Play,Half Volley,True,0.0,1.4212670403551944,From Corner,0.5475934,0
3895107,Florian Wirtz,Bayer Leverkusen,46,96.6,40.7,23.410467744152406,19.384249496874613,Right Foot,Open Play,Normal,True,2.0,2.700000000000003,From Counter,0.051511027,0
3895107,Jeremie Frimpong,Bayer Leverkusen,53,107.3,45.1,13.685759021698434,30.672667071403897,Right Foot,Open Play,Normal,True,1.0,8.825531145489203,Regular Play,0.38250083,0
3895107,Florian Wirtz,Bayer Leverkusen,59,97.2,48.2,24.229733799610756,17.71321323705673,Right Foot,Open Play,Normal,True,2.0,4.272001872658761,From Corner,0.054658294,0
